Position ,Total years of experience,Seniority level,Yearly brutto salary (without bonus and stocks) in thoundsands EUR,Employment status,Contract duration,Company size,Company type,"Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR",Programming languages,Frameworks / Libs,Databases,Design,Clouds,Platform,DevOps tools
Data Analyst,1,Junior,45.0,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,Python; ,,,,,,
Consultant,5,Middle,56.0,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Designer(UI/UX),11,Middle,32.0,Full-time employee,Temporary contract,101-1000,Startup,,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,12,Lead,108.0,Self-employed (freelancer),Unlimited contract,0-10,Consulting / Agency,,PHP; ,,,,,,
Backend Developer,8,Senior,95.0,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Frontend Developer,1,Junior,37.5,Full-time employee,Temporary contract,0-10,Startup,,JavaScript; ,,,,,,
Mobile Developer,10,Middle,67.0,Full-time employee,Unlimited contract,1000+,Product,500,Swift; ,,,,,,
No info,12,Senior,100.0,Full-time employee,Unlimited contract,101-1000,Bank,,No info,No info; ,No info,No info,No info,No info,No info
Data Engineer,9,Senior,81.0,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Backend Developer,11,Senior,35.0,Founder,Unlimited contract,0-10,Startup,,JavaScript; ,,,,,,
Cloud Engineer,15,Senior,72.0,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Product Manager,7,Middle,72.0,Full-time employee,Unlimited contract,101-1000,Startup,,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,4,Junior,42.0,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Solutions architect,14,Head,95.0,Full-time employee,Unlimited contract,101-1000,Startup,400,,,,,,,
Backend Developer,12,Senior,67.0,Full-time employee,Unlimited contract,101-1000,,,PHP; ,,,,,,
Backend Developer,5,Middle,64.0,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
No info,2,Junior,52.0,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Mobile Developer,14,Senior,60.0,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,,,,,,Android; ,
Backend Developer,9,Senior,85.0,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Frontend Developer,14,Senior,84.0,Full-time employee,Unlimited contract,1000+,IT Department of established business,,,Angular; ,,,,,
Project Manager,19,Senior,123.6,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
Software Engineer,6,Middle,49.0,Full-time employee,Unlimited contract,51-100,Startup,,C#; ,,,,,,
QA,9,Middle,57.0,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
QA,18,Lead,78.0,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Backend Developer,12,Senior,70.0,Full-time employee,Unlimited contract,101-1000,Telecommunications,675,Java; ,,,,,,
Frontend Developer,5,Middle,57.0,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,Angular; ,,,,,
Backend Developer,7,Senior,72.0,Full-time employee,Unlimited contract,011-050,Product,,,,,,,,
Product Manager,10,Lead,120.0,Full-time employee,Unlimited contract,1000+,Product,2000,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,10,Senior,26.4,Self-employed (freelancer),Unlimited contract,0-10,Startup,,,.NET; ,,,,,
Frontend Developer,8,Senior,68.0,Full-time employee,,,,,JavaScript; ,,,,,,
QA,6.5,Senior,58.0,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info; ,No info,No info,No info,No info,No info
ML Engineer,10,Lead,92.0,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,Python; ,,,,,,
ML Engineer,20,Senior,80.0,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Data Analyst,6,Senior,55.0,Full-time employee,Unlimited contract,011-050,Product,,T-SQL; ,,,,,,
Software Engineer,12,Senior,73.0,Full-time employee,Unlimited contract,51-100,Product,,Java; ,,,,,,
QA,9,Senior,62.0,Full-time employee,Unlimited contract,101-1000,Startup,,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,11,Senior,55.0,Full-time employee,Unlimited contract,011-050,Startup,,Kotlin; ,,,,,,
Software Engineer,9,Lead,90.0,Full-time employee,Unlimited contract,101-1000,Product,0,JavaScript; ,,,,,,
Backend Developer,21,Senior,80.0,Full-time employee,Unlimited contract,101-1000,Product,0,Java; ,,,,,,
Security Engineer,10,Senior,85.0,Full-time employee,Unlimited contract,1000+,Product,0,Python; ,,,,,,
Software Engineer,25,Lead,75.0,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
DevOps,6,Middle,62.0,Full-time employee,Unlimited contract,1000+,Media,,Java; ,,,,,,
Backend Developer,7,Senior,60.0,Full-time employee,Unlimited contract,011-050,Startup,,PHP; ,,,,,,
Software Engineer,12,Senior,66.8,Full-time employee,Unlimited contract,51-100,Product,1000,,,,,,iOS; ,
Software Engineer,25,Senior,55.0,Full-time employee,Unlimited contract,51-100,Product,,C#; ,.NET; ,,,,,
Business Analyst,10,Senior,70.0,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
ML Engineer,12,Senior,90.0,Full-time employee,Unlimited contract,1000+,Product,500,Python; ,,,,,,
Backend Developer,7,Senior,70.0,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Data Engineer,7.5,Middle,68.0,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
DBA,17,Senior,64.0,Full-time employee,Unlimited contract,101-1000,Product,500,,,,,,,
Backend Developer,7,Senior,72.0,Full-time employee,Unlimited contract,011-050,Product,0,Ruby; ,,,,,,
DevOps,12,Senior,70.0,Full-time employee,Unlimited contract,101-1000,Product,1000,Java; ,,,,,,
Support Engineer,10,Senior,63.5,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Frontend Developer,12,Middle,70.0,Full-time employee,Unlimited contract,101-1000,E-commerce,0,JavaScript; ,,,,,,
Frontend Developer,10,Senior,68.0,Full-time employee,Unlimited contract,011-050,Startup,0,,React; ,,,,,
Software Engineer,12,Lead,78.0,Full-time employee,Unlimited contract,1000+,Product,0,,.NET; ,,,,,
Software Engineer,8,Senior,75.0,Full-time employee,Unlimited contract,101-1000,Startup,1500,Elixir; ,,,,,,
Software Engineer,13,Lead,89.57,Full-time employee,Unlimited contract,1000+,Product,500,Java; ,,,,,,
Software Engineer,9,Senior,78.0,Full-time employee,Unlimited contract,101-1000,Product,,Kotlin; ,,,,,,
Mobile Developer,7,Senior,80.0,Full-time employee,Unlimited contract,1000+,Product,,,,,,,iOS; ,
Backend Developer,15,Senior,70.0,Full-time employee,Unlimited contract,51-100,Product,,Elixir; ,,,,,,
Software Engineer,5,Middle,67.0,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,NodeJS; ,,,AWS; ,,
Software Engineer,15,Senior,85.0,Full-time employee,Unlimited contract,1000+,Product,,Scala; ,,,,,,
Software Engineer,22,Senior,76.0,Full-time employee,Unlimited contract,51-100,Startup,,Erlang; ,,,,,,
Frontend Developer,9,Middle,66.0,Full-time employee,Unlimited contract,101-1000,Product,,TypeScript; ,,,,,,
Consultant,4,Middle,65.0,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,JavaScript; ,,,,,,
Software Engineer,1,Middle,130.0,Full-time employee,Unlimited contract,1000+,Product,,Scala; ,,,,,,
Software Engineer,14,Senior,80.0,Full-time employee,Unlimited contract,51-100,Product,,JavaScript; ,,,,,,
Software Engineer,14,Senior,68.0,Full-time employee,Unlimited contract,51-100,Product,500,PHP; ,,,,,,
Software Engineer,4,Junior,46.0,Full-time employee,Unlimited contract,0-10,Product,,C#; ,,,,,,
Software Engineer,15,Senior,56.4,Full-time employee,Unlimited contract,011-050,Product,,C#; ,,,,,,
Backend Developer,11,Senior,81.2,Full-time employee,Unlimited contract,1000+,Product,,PHP; ,,,,,,
Tech recruiting,11,Senior,70.0,Full-time employee,Unlimited contract,1000+,Product,1500,No info,No info; ,No info,No info,No info,No info,No info
Backend Developer,7,Senior,65.0,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,12,Senior,75.0,Full-time employee,Unlimited contract,101-1000,Product,1000,Golang; ,,,,,,
Software tester,8,Senior,60.0,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,500,Java; ,,,,,,
Mobile Developer,5,Middle,55.0,Full-time employee,Unlimited contract,011-050,Product,,Objective-C; ,,,,,,
Software Engineer,10,Senior,75.0,Full-time employee,Unlimited contract,101-1000,Product,,Ruby; ,,,,,,
Data Scientist,2,Middle,54.0,Full-time employee,Unlimited contract,51-100,Product,,Python; ,,,,,,
QA,9,Senior,76.0,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
Software Engineer,10,Senior,76.0,Full-time employee,Unlimited contract,101-1000,Product,,C++; ,,,,,,
Data Scientist,2.5,Lead,20.0,Full-time employee,Unlimited contract,1000+,Bank,,Python; ,,,,,,
Software Engineer,7,Senior,80.0,Full-time employee,Unlimited contract,011-050,Startup,,TypeScript; ,,,,,,
Software Engineer,10,Senior,78.0,Full-time employee,Unlimited contract,51-100,Product,,C#; ,,,,,,
Backend Developer,4,Senior,65.0,Full-time employee,Unlimited contract,51-100,Product,,Ruby; ,,,,,,
Software Engineer,22,Senior,46.0,Full-time employee,Unlimited contract,0-10,Product,1500,C++; ,,,,,,
Backend Developer,8,Middle,65.0,Full-time employee,Unlimited contract,101-1000,Product,,Golang; ,,,,,,
Software Engineer,5,Senior,67.0,Self-employed (freelancer),Unlimited contract,0-10,Startup,,C++; ,,,,,,
Support Engineer,,Senior,61.0,Full-time employee,Unlimited contract,,,100,No info,No info; ,No info,No info,No info,No info,No info
Data Scientist,2,Middle,48.0,Full-time employee,Unlimited contract,011-050,Product,,Python; ,,,,,,
Software Engineer,9,Senior,70.8,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,ABAP; ,,,,,,
Frontend Developer,3,Senior,70.0,Full-time employee,Unlimited contract,011-050,Startup,,JavaScript; ,,,,,,
Software Engineer,3,Middle,48.0,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,Python; ,,,,,,
Mobile Developer,8,Senior,65.4,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,Java; ,,,,,,
Backend Developer,18,Senior,60.0,Full-time employee,Unlimited contract,1000+,Product,0,PHP; ,,,,,,
Software Engineer,5,Senior,71.0,Full-time employee,Unlimited contract,1000+,Product,,TypeScript; ,Angular; ,,,,,
Software Engineer,5,Senior,65.0,Full-time employee,Unlimited contract,51-100,Product,,JavaScript; ,,,,,,
System Administrator,20,Senior,44.0,Full-time employee,Unlimited contract,011-050,Systemhaus,,No info,No info; ,No info,No info,No info,No info,No info
Backend Developer,3,Middle,27.0,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,PHP; ,,,,,,
DevOps,9,Lead,90.0,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,Kubernetes; 
Software Engineer,6,Middle,60.0,Full-time employee,Unlimited contract,101-1000,Product,,,.NET; ,,,,,
Software Architect,8,Senior,73.0,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
Software Engineer,15,Senior,67.5,Full-time employee,Unlimited contract,1000+,Product,,ABAP; ,,,,,,
SRE,6,Middle,66.0,Full-time employee,Unlimited contract,1000+,Product,0,,,,,,,Kubernetes; 
Software Engineer,8,Lead,80.0,Full-time employee,Unlimited contract,101-1000,Product,500,JavaScript; ,,,,,,
Software Engineer,5,,55.0,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,No info,No info; ,No info,No info,No info,No info,No info
Backend Developer,5,Middle,55.0,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,13,Senior,75.0,Full-time employee,Unlimited contract,1000+,Product,600,Ruby; ,,,,,,
Backend Developer,5,Senior,60.0,,,,,,Java; ,,,,,,
QA,7,Middle,54.5,Full-time employee,Unlimited contract,011-050,Consulting / Agency,1500,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,22,Senior,72.0,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Software Engineer,9,Senior,60.0,Full-time employee,Unlimited contract,0-10,Startup,,TypeScript; ,React; ,,,,,
Backend Developer,11,Senior,85.0,Full-time employee,Unlimited contract,51-100,Product,,Python; ,,,,,,
Software Engineer,9,Lead,75.0,Full-time employee,Unlimited contract,1000+,Startup,0,Java; ,,,,,,
No info,3,Junior,10.164,Part-time employee,Temporary contract,011-050,University,,Python; ,,,,,,
Backend Developer,4,Senior,65.0,Full-time employee,Unlimited contract,101-1000,Product,,Golang; ,,,,,,
Software Engineer,11,Middle,75.0,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Software Engineer,28,Senior,78.5,Full-time employee,Unlimited contract,51-100,Product,,C#; ,,,,,,
Product Manager,5,Senior,56.0,Full-time employee,Unlimited contract,101-1000,Product,0,No info,No info; ,No info,No info,No info,No info,No info
Data Engineer,12,Senior,68.0,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,0,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,12,Senior,83.0,Full-time employee,Unlimited contract,1000+,Product,40,Java; ,,,,,,
Software Engineer,4,Junior,53.0,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,No info,No info; ,No info,No info,No info,No info,No info
Backend Developer,8,Lead,65.0,Part-time employee,Unlimited contract,0-10,Product,10000,Python; ,,,,,,
Software Engineer,10,Middle,65.0,Full-time employee,Unlimited contract,1000+,Product,500,,,,,,iOS; ,
Software Engineer,10,Senior,68.5,Full-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
Frontend Developer,8,Middle,45.0,Full-time employee,Unlimited contract,51-100,Product,,,Angular; ,,,,,
Backend Developer,2,Middle,12.0,,,,,,PHP; ,,,,,,
Backend Developer,5,Middle,72.0,Full-time employee,Unlimited contract,011-050,Product,,Ruby; ,,,,,,
Software Engineer,15,Lead,80.0,Full-time employee,Unlimited contract,1000+,Product,750,Java; ,,,,,,
Software Engineer,10,Senior,68.0,Full-time employee,Temporary contract,011-050,Startup,,,,,,,,
Software Engineer,4,Middle,24.0,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,0,,,,,,,
Software Engineer,19,Lead,95.5,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Software Engineer,14,Senior,72.0,Full-time employee,Unlimited contract,101-1000,Product,,C++; ,,,,,,
Software Engineer,7,Senior,72.0,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,TypeScript; ,,,,,,
Mobile Developer,3,Middle,65.0,Full-time employee,Unlimited contract,101-1000,Startup,,Kotlin; ,,,,,,
Software Engineer,3,Middle,77.6,Full-time employee,Unlimited contract,1000+,Product,1000,C++; ,,,,,,
Software Engineer,13,Lead,95.0,Full-time employee,Unlimited contract,51-100,Startup,0,Python; ,,,,,,
Software Engineer,7,Senior,50.4,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
Backend Developer,5,Middle,80.0,Full-time employee,Unlimited contract,1000+,Startup,,Java; ,,,,,,
Backend Developer,2,Middle,13.0,Full-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
Project manager,20,Middle,130.0,Full-time employee,Unlimited contract,1000+,Consulting / Agency,300,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,5,Middle,14.712,Full-time employee,Unlimited contract,101-1000,Product,0,C; ,,,,,,
Product Manager,5,Senior,70.0,Full-time employee,,101-1000,Product,,No info,No info; ,No info,No info,No info,No info,No info
QA,11,Senior,74.4,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,15,Senior,70.0,Full-time employee,Temporary contract,011-050,Startup,,Java; ,,,,,,
Backend Developer,10,Senior,82.0,Full-time employee,Unlimited contract,51-100,Product,500,Java; ,,,,,,
Data Scientist,4,Senior,85.0,Full-time employee,Unlimited contract,1000+,No info,0,Python; ,,,,,,
Security Engineer,5,Lead,80.0,Full-time employee,Unlimited contract,101-1000,Startup,0,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,4,Middle,70.5,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
Software Engineer,11,Lead,75.0,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Data Scientist,3,Middle,58.0,Full-time employee,Unlimited contract,51-100,Product,,Python; ,,,,,,
Software Engineer,29,Lead,28.8,Full-time employee,Unlimited contract,011-050,No info,0,C++; ,,,,,,
Designer (UI/UX),15,Middle,53.0,Full-time employee,Unlimited contract,1000+,Product,18000,No info,No info; ,No info,No info,No info,No info,No info
Architect,10,Middle,89.0,Full-time employee,Unlimited contract,101-1000,,,No info,No info; ,No info,No info,No info,No info,No info
Backend Developer,11,Senior,66.0,Full-time employee,Unlimited contract,101-1000,Product,500,Python; ,,,,,,
Backend Developer,10,Senior,80.0,Full-time employee,Unlimited contract,101-1000,Product,,Ruby; ,,,,,,
Mobile Developer,8,Lead,75.0,Full-time employee,Unlimited contract,011-050,Startup,0,Swift; ,,,,,,
Frontend Developer,3,Middle,44.0,Full-time employee,Unlimited contract,51-100,Product,0,JavaScript; ,,,,,,
Software Engineer,8,Senior,75.0,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Backend Developer,9,Senior,60.0,Full-time employee,Unlimited contract,011-050,Product,0,PHP; ,,,,,,
Designer (UI/UX),2,Middle,70.0,Full-time employee,Temporary contract,0-10,Startup,,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,8,Senior,76.9,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Tech Lead,10,Lead,85.0,Full-time employee,Unlimited contract,1000+,Startup,,No info,No info; ,No info,No info,No info,No info,No info
Backend Developer,8,Middle,27.0,Full-time employee,Temporary contract,51-100,Product,0,,,,,,,
Frontend Developer,4,Middle,55.0,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
Software Engineer,4,Lead,95.0,Full-time employee,Unlimited contract,1000+,Startup,0,Java; ,,,,,,
Software Engineer,4,Middle,56.0,Full-time employee,Unlimited contract,1000+,Product,0,Java; ,,,,,,
Software Engineer,3,Middle,60.0,Full-time employee,Unlimited contract,101-1000,Startup,,JavaScript; ,,,,,,
Software Engineer,2,Middle,58.0,Full-time employee,Unlimited contract,1000+,Product,0,Java; ,,,,,,
Mobile Developer,9,Senior,72.0,Full-time employee,Unlimited contract,1000+,Product,600,,,,,,Android; ,
Backend Developer,4,Middle,46.0,Full-time employee,Unlimited contract,51-100,Startup,,PHP; ,,,,,,
DevOps,15,Senior,70.0,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Backend Developer,20,Senior,75.0,Full-time employee,Unlimited contract,101-1000,Product,300,,.NET; ,,,,,
Frontend Developer,8,Senior,105.0,Full-time employee,Unlimited contract,1000+,Startup,,TypeScript; ,React; ,,,,,
Software Engineer,2,Junior,50.0,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,No info,No info; ,No info,No info,No info,No info,No info
Mobile Developer,7,Senior,63.0,Full-time employee,Unlimited contract,1000+,Product,1100,Kotlin; ,,,,,,
QA,4,Middle,52.0,Full-time employee,Unlimited contract,51-100,Startup,,No info,No info; ,No info,No info,No info,No info,No info
Mobile Developer,3,Lead,65.0,Full-time employee,Unlimited contract,51-100,Startup,,Swift; ,,,,,,
Backend Developer,3,Middle,60.0,Full-time employee,Unlimited contract,011-050,,,No info,No info; ,No info,No info,No info,No info,No info
ML Engineer,4,Middle,62.0,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Tech Lead,5,Lead,90.0,Full-time employee,Unlimited contract,011-050,Startup,0,JavaScript; ,React; ,,,,,
Frontend Developer,8,Senior,69.0,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
Software Engineer,10,Senior,88.0,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
DevOps,11,Senior,81.0,Full-time employee,Unlimited contract,101-1000,Startup,0,,,,,,,
Frontend Developer,2,Middle,18.7,Full-time employee,Unlimited contract,1000+,Product,0,JavaScript; ,,,,,,
Analytics engineer,7,Middle,60.0,Full-time employee,Unlimited contract,101-1000,Startup,0,,,,,,,
Software Engineer,5,Middle,56.0,Full-time employee,Unlimited contract,011-050,Product,500,PHP; ,,,,,,
Frontend Developer,7,Senior,55.0,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Mobile Developer,10,Senior,70.0,Full-time employee,Unlimited contract,1000+,Product,0,Swift; ,,,,,,
CTO,10,CTO,200.0,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
Architect,6,Middle,100.0,Full-time employee,Unlimited contract,1000+,Product,400,,Apache Spark; ,,,,,
Backend Developer,3,Junior,48.0,Full-time employee,Temporary contract,1000+,Game Company,,C#; ,,,,,,
Software Engineer,3,Junior,30.0,Full-time employee,Unlimited contract,011-050,Product,,Java; ,,,,,,
Software Engineer,3,Middle,21.12,Full-time employee,Temporary contract,011-050,Product,,,.NET; ,,,,,
QA,6,Senior,67.5,Full-time employee,Unlimited contract,1000+,Product,,Ruby; ,,,,,,
Data Scientist,2,Middle,48.0,Full-time employee,Temporary contract,1000+,Product,,Python; ,,,,,,
Frontend Developer,2,Middle,64.0,Full-time employee,Unlimited contract,101-1000,Startup,,JavaScript; ,,,,,,
Software Engineer,23,Senior,90.0,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,C#; ,,,,,,
Security Engineer,,Senior,68.5,Full-time employee,Unlimited contract,1000+,Startup,0,,,,,,,
Software tester,12,No level ,47.5,Part-time employee,Unlimited contract,51-100,Product,0,Java; ,,,,,,
Fullstack Developer,8,Senior,57.0,Full-time employee,Unlimited contract,51-100,Product,,C#; ,,,,,,
Frontend Developer,5,Senior,45.6,Full-time employee,Unlimited contract,0-10,Consulting / Agency,,JavaScript; ,,,,,,
Software Engineer,,Senior,90.0,Full-time employee,Unlimited contract,1000+,Product,180,Java; ,,,,,,
Backend Developer,2,Junior,50.0,Self-employed (freelancer),Unlimited contract,101-1000,Product,,Elixir; ,,,,,,
Consultant,11,Senior,75.0,Full-time employee,Unlimited contract,1000+,Finance,,ABAP; ,,,,,,
Software Engineer,10,Lead,62.0,Full-time employee,Unlimited contract,51-100,Product,,Golang; ,,,,,,
Mobile Developer,5,Senior,45.0,Full-time employee,Unlimited contract,011-050,Product,,Swift; ,,,,,,
Software Engineer,16,Senior,83.0,Full-time employee,Unlimited contract,1000+,Startup,700,ABAP; ,,,,,,
Software Engineer,12,Senior,66.3,Full-time employee,Unlimited contract,101-1000,Product,2000,Java; ,,,,,,
Software Engineer,6,Middle,65.0,Full-time employee,Unlimited contract,1000+,Startup,500,Java; ,,,,,,
Software Engineer,13,Lead,85.0,Full-time employee,Unlimited contract,1000+,Product,600,Kotlin; ,,,,,,
QA,9,Middle,60.0,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,0,,,,,,,
Software Engineer,9,Senior,60.0,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,0,,,,,,,
Software Engineer,14,Senior,95.0,Full-time employee,Unlimited contract,1000+,Product,0,C; ,,,,,,
Software Engineer,10,Director,100.0,Full-time employee,Unlimited contract,1000+,Product,0,PHP; ,,,,,,
No info,15,Senior,79.3,Full-time employee,Unlimited contract,1000+,Product,,,,,,AWS; ,,
Product Manager,,Senior,60.0,Full-time employee,Unlimited contract,1000+,Product,,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,5,Middle,48.0,Full-time employee,Unlimited contract,0-10,Consulting / Agency,0,C#; ,.NET; ,,,,,
Software Engineer,6,Middle,60.0,Full-time employee,Unlimited contract,101-1000,E-commerce,0,PHP; ,,,,,,
Software Engineer,4,Middle,34.0,Full-time employee,Temporary contract,0-10,Product,,PHP; ,,,,,,
QA,11,Middle,57.0,Full-time employee,Unlimited contract,101-1000,Startup,0,JavaScript; ,,,,,,
Software Engineer,12,Middle,54.0,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Software Engineer,10,Senior,60.0,Full-time employee,Unlimited contract,011-050,Product,,,.NET; ,,,,,
Mobile Developer,7,Senior,65.0,Full-time employee,Unlimited contract,101-1000,Startup,,,,,,,Android; ,
Software Engineer,15,Senior,80.0,Full-time employee,Unlimited contract,51-100,Corporation,,JavaScript; ,,,,,,
Frontend Developer,4,Middle,60.0,Full-time employee,Unlimited contract,011-050,Startup,,JavaScript; ,,,,,,
Frontend Developer,6,Senior,66.0,Full-time employee,Unlimited contract,,,,JavaScript; ,,,,,,
Software Engineer,3,Middle,60.0,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
Software Engineer,10,Senior,75.0,Full-time employee,Unlimited contract,1000+,Product,,,.NET; ,,,,,
Engineering Manager,10,Middle,85.0,Full-time employee,Unlimited contract,101-1000,Product,700,JavaScript; ,,,,,,
Frontend Developer,2,Junior,47.0,Full-time employee,Unlimited contract,1000+,Publishing and Technology,,JavaScript; ,,,,,,
ML Engineer,4,Junior,62.0,Full-time employee,Unlimited contract,1000+,Product,0,Python; ,,,,,,
Designer (UI/UX),6,Middle,56.0,Full-time employee,Unlimited contract,011-050,Startup,,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,1.5,Junior,50.0,Full-time employee,Unlimited contract,51-100,Startup,1200,JavaScript; ,,,,,,
Software Engineer,17,Senior,75.0,Full-time employee,Unlimited contract,101-1000,Startup,,Golang; ,,,,,,
Product Manager,13,Head,90.0,Full-time employee,Unlimited contract,1000+,Product,300,No info,No info; ,No info,No info,No info,No info,No info
Software Engineer,6,Middle,82.0,Full-time employee,Unlimited contract,1000+,Product,1300,Java; ,,,,,,
Software Engineer,8,Middle,75.0,Full-time employee,Unlimited contract,1000+,Product,0,PHP; ,,,,,,
Software Architect,18,Head,156.0,Self-employed (freelancer),Unlimited contract,011-050,Startup,,Golang; ,,,,,,
Software Engineer,5,Middle,53.0,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Backend Developer,14,Senior,77.0,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
Manager,11,Head,180.0,Full-time employee,Unlimited contract,1000+,Product,0,Python; ,,,,,,
Software Engineer,10,Middle,55.0,Full-time employee,Unlimited contract,101-1000,Product,,C#; ,,,,,,
Software Engineer,10,Lead,82.0,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
Data Scientist,15,Head,100.0,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
ML Engineer,3,Lead,70.0,Full-time employee,Unlimited contract,011-050,Startup,,Python; ,,,,,,
Data Scientist,1,,57.6,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,Python; ,,,,,,
Data Scientist,2,Junior,47.0,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,Python; ,,,,,,
Software Engineer,10,Senior,70.0,Full-time employee,Unlimited contract,011-050,Startup,,Java; ,,,,,,
Software Engineer,9,Lead,100.0,Full-time employee,Unlimited contract,51-100,Product,0,Java; ,,,,,,
Software Engineer,11,Senior,65.0,Full-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
Mobile Developer,10,Senior,80.0,Full-time employee,Unlimited contract,1000+,Product,1750,Swift; ,,,,,,
Data Scientist,2,Middle,54.0,Full-time employee,Unlimited contract,1000+,Market Research ,,Python; ,,,,,,
Consultant ,21,Senior,72.0,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,0,Java; ,,,,,,
Frontend Developer,14,Senior,78.0,Full-time employee,Unlimited contract,011-050,Startup,,JavaScript; ,,,,,,
